Diameter,run,Time,Stimulus
64.265,1,-2,red
64.265,1,-1.98,red
64.21000000000001,1,-1.96,red
64.21000000000001,1,-1.94,red
64.21000000000001,1,-1.92,red
64.21000000000001,1,-1.9,red
64.21000000000001,1,-1.88,red
64.265,1,-1.8599999999999999,red
64.34,1,-1.84,red
64.41,1,-1.82,red
64.34,1,-1.8,red
64.34,1,-1.78,red
64.34,1,-1.76,red
64.34,1,-1.74,red
64.21000000000001,1,-1.72,red
64.21000000000001,1,-1.7,red
64.21000000000001,1,-1.68,red
64.1,1,-1.66,red
64.1,1,-1.6400000000000001,red
64.11,1,-1.62,red
64.11,1,-1.6,red
64.11,1,-1.58,red
64.11,1,-1.56,red
64.1,1,-1.54,red
64.11,1,-1.52,red
64.21000000000001,1,-1.5,red
64.21000000000001,1,-1.48,red
64.11,1,-1.46,red
64.11,1,-1.44,red
64.11,1,-1.42,red
64.21000000000001,1,-1.4,red
64.39,1,-1.38,red
64.39,1,-1.3599999999999999,red
64.39,1,-1.3399999999999999,red
64.11,1,-1.3199999999999998,red
64.11,1,-1.2999999999999998,red
64.11,1,-1.28,red
64.11,1,-1.26,red
64.11,1,-1.24,red
64.39,1,-1.22,red
64.455,1,-1.2,red
64.50999999999999,1,-1.18,red
64.60499999999999,1,-1.1600000000000001,red
64.63,1,-1.1400000000000001,red
64.63,1,-1.12,red
64.63,1,-1.1,red
64.67,1,-1.08,red
64.755,1,-1.06,red
64.755,1,-1.04,red
64.755,1,-1.02,red
64.755,1,-1,red
64.775,1,-0.98,red
64.895,1,-0.96,red
64.895,1,-0.94,red
64.895,1,-0.9199999999999999,red
64.895,1,-0.8999999999999999,red
64.895,1,-0.8799999999999999,red
64.895,1,-0.8599999999999999,red
64.97,1,-0.8400000000000001,red
64.97,1,-0.8200000000000001,red
64.895,1,-0.8,red
64.895,1,-0.78,red
64.97,1,-0.76,red
65.215,1,-0.74,red
65.215,1,-0.72,red
65.215,1,-0.7,red
65.21,1,-0.6799999999999999,red
65.215,1,-0.6599999999999999,red
65.215,1,-0.6399999999999999,red
65.255,1,-0.6199999999999999,red
65.255,1,-0.5999999999999999,red
65.21,1,-0.5800000000000001,red
64.97,1,-0.56,red
64.97,1,-0.54,red
64.895,1,-0.52,red
64.89,1,-0.5,red
64.89,1,-0.48,red
64.89,1,-0.45999999999999996,red
64.81,1,-0.43999999999999995,red
64.89,1,-0.41999999999999993,red
64.81,1,-0.3999999999999999,red
64.64500000000001,1,-0.3799999999999999,red
64.81,1,-0.3599999999999999,red
64.81,1,-0.33999999999999986,red
64.81,1,-0.32000000000000006,red
64.89,1,-0.30000000000000004,red
64.89,1,-0.28,red
64.81,1,-0.26,red
64.61,1,-0.24,red
64.81,1,-0.21999999999999997,red
64.61,1,-0.19999999999999996,red
64.605,1,-0.17999999999999994,red
64.605,1,-0.15999999999999992,red
64.605,1,-0.1399999999999999,red
64.49000000000001,1,-0.11999999999999988,red
64.49000000000001,1,-0.09999999999999987,red
64.48,1,-0.08000000000000007,red
64.48,1,-0.06000000000000005,red
64.325,1,-0.040000000000000036,red
64.325,1,-0.020000000000000018,red
64.325,1,0,red
64.16499999999999,1,0.020000000000000018,red
64.125,1,0.040000000000000036,red
63.985,1,0.06000000000000005,red
63.97,1,0.08000000000000007,red
63.84,1,0.10000000000000009,red
63.635,1,0.1200000000000001,red
63.49,1,0.14000000000000012,red
63.300000000000004,1,0.16000000000000014,red
63.21,1,0.18000000000000016,red
62.08,1,0.20000000000000018,red
61.565,1,0.2200000000000002,red
61.27,1,0.2400000000000002,red
60.665,1,0.26000000000000023,red
59.86,1,0.28000000000000025,red
59.615,1,0.30000000000000027,red
59.595,1,0.31999999999999984,red
58.870000000000005,1,0.33999999999999986,red
57.36,1,0.3599999999999999,red
56.230000000000004,1,0.3799999999999999,red
55.76,1,0.3999999999999999,red
55.614999999999995,1,0.41999999999999993,red
55.614999999999995,1,0.43999999999999995,red
55.42,1,0.45999999999999996,red
55.31,1,0.48,red
54.465,1,0.5,red
53.985,1,0.52,red
53.11,1,0.54,red
52.870000000000005,1,0.56,red
51.595,1,0.5800000000000001,red
51.415,1,0.6000000000000001,red
51.29,1,0.6200000000000001,red
51.165,1,0.6400000000000001,red
51.065,1,0.6600000000000001,red
50.745000000000005,1,0.6800000000000002,red
50.129999999999995,1,0.7000000000000002,red
49.93,1,0.7200000000000002,red
49.7125,1,0.7400000000000002,red
49.495,1,0.7600000000000002,red
49.4625,1,0.7800000000000002,red
49.0925,1,0.8000000000000003,red
48.755,1,0.8199999999999998,red
48.68,1,0.8399999999999999,red
48.292500000000004,1,0.8599999999999999,red
47.905,1,0.8799999999999999,red
47.7675,1,0.8999999999999999,red
47.5025,1,0.9199999999999999,red
47.375,1,0.94,red
47.269999999999996,1,0.96,red
47.165,1,0.98,red
47.09,1,1,red
47.03,1,1.02,red
46.667500000000004,1,1.04,red
46.305,1,1.06,red
45.962500000000006,1,1.08,red
45.620000000000005,1,1.1,red
44.95,1,1.12,red
